# Transcripts with >= 50% unmappable exonic bases (k24 unique mappability)
# Input: k24.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total transcripts scored: 111925
# Transcripts flagged for removal: 2923
# transcript_id	gene_id	frac_unmappable
ENST00000016946	ENSG00000015568	1.0000
ENST00000056217	ENSG00000050327	0.7842
ENST00000194097	ENSG00000249437	0.8826
ENST00000202773	ENSG00000089009	0.5896
ENST00000215473	ENSG00000099715	0.6303
ENST00000215794	ENSG00000184979	0.6399
ENST00000218249	ENSG00000102128	0.5773
ENST00000219054	ENSG00000183747	0.5755
ENST00000222247	ENSG00000105640	0.5678
ENST00000235347	ENSG00000187545	0.8426
ENST00000235349	ENSG00000243073	0.7255
ENST00000236937	ENSG00000072694	0.5021
ENST00000238651	ENSG00000119673	0.5536
ENST00000243314	ENSG00000123584	0.9493
ENST00000244174	ENSG00000124334	1.0000
ENST00000245564	ENSG00000125459	0.7783
ENST00000245621	ENSG00000244482	0.5412
ENST00000249887	ENSG00000129048	0.5472
ENST00000250823	ENSG00000129862	1.0000
ENST00000250825	ENSG00000129864	1.0000
ENST00000250831	ENSG00000226941	0.9774
ENST00000250838	ENSG00000182415	0.9832
ENST00000250974	ENSG00000129968	0.7436
ENST00000251303	ENSG00000132207	0.9929
ENST00000251595	ENSG00000188536	0.7326
ENST00000252071	ENSG00000106526	0.5525
ENST00000252951	ENSG00000130656	0.5802
ENST00000253262	ENSG00000130950	0.7831
ENST00000254072	ENSG00000187272	0.7714
ENST00000258459	ENSG00000196912	0.8006
ENST00000258704	ENSG00000136206	0.6406
ENST00000259199	ENSG00000136682	0.7969
ENST00000259216	ENSG00000136698	0.9181
ENST00000259241	ENSG00000136720	0.5517
ENST00000259396	ENSG00000229314	0.5825
ENST00000259818	ENSG00000137285	0.5307
ENST00000259915	ENSG00000204531	0.6373
ENST00000260045	ENSG00000137492	0.5986
ENST00000261644	ENSG00000241322	0.7140
ENST00000262056	ENSG00000063046	0.5311
ENST00000262365	ENSG00000145002	0.8662
ENST00000262640	ENSG00000124333	1.0000
ENST00000262940	ENSG00000105808	0.9643
ENST00000263012	ENSG00000103226	0.9532
ENST00000265097	ENSG00000051596	0.7676
ENST00000265753	ENSG00000106682	0.5486
ENST00000265849	ENSG00000122512	0.6022
ENST00000267814	ENSG00000140263	0.7966
ENST00000270162	ENSG00000142178	0.9480
ENST00000272395	ENSG00000144015	0.8387
ENST00000272454	ENSG00000015568	1.0000
ENST00000272462	ENSG00000144063	0.9219
ENST00000272610	ENSG00000144199	0.6360
ENST00000274065	ENSG00000145425	0.6916
ENST00000274400	ENSG00000145736	0.9562
ENST00000275569	ENSG00000146707	0.7879
ENST00000275988	ENSG00000186787	0.6484
ENST00000276241	ENSG00000169551	0.5961
ENST00000276927	ENSG00000197919	0.5410
ENST00000276974	ENSG00000154529	0.8185
ENST00000281882	ENSG00000152093	0.9160
ENST00000282633	ENSG00000099290	0.7085
ENST00000283891	ENSG00000153779	0.5398
ENST00000285279	ENSG00000154978	0.6958
ENST00000285805	ENSG00000155428	0.9319
ENST00000286380	ENSG00000155918	0.5249
ENST00000286448	ENSG00000124333	1.0000
ENST00000287667	ENSG00000103512	0.8416
ENST00000287721	ENSG00000229549	0.9208
ENST00000288040	ENSG00000157322	0.8811
ENST00000288168	ENSG00000157423	0.6339
ENST00000289473	ENSG00000158517	0.8525
ENST00000290438	ENSG00000159289	0.9547
ENST00000290765	ENSG00000133433	0.9025
ENST00000291552	ENSG00000160201	0.9630
ENST00000291554	ENSG00000160202	0.9596
ENST00000291576	ENSG00000241945	0.9210
ENST00000291577	ENSG00000160221	0.9419
ENST00000292577	ENSG00000129968	0.7222
ENST00000293406	ENSG00000161654	0.7124
ENST00000295171	ENSG00000163040	0.5528
ENST00000295181	ENSG00000163046	0.5892
ENST00000295246	ENSG00000174501	0.5395
ENST00000296121	ENSG00000163807	0.6054
ENST00000297186	ENSG00000169402	0.9388
ENST00000297258	ENSG00000164687	0.6716
ENST00000297498	ENSG00000164871	0.7723
ENST00000297668	ENSG00000106714	0.6739
ENST00000298181	ENSG00000187754	0.5396
ENST00000298784	ENSG00000122376	0.5362
ENST00000298786	ENSG00000122376	0.5423
ENST00000299443	ENSG00000166351	0.6395
ENST00000299468	ENSG00000203880	0.5092
ENST00000299847	ENSG00000166664	0.9311
ENST00000300283	ENSG00000237289	0.8735
ENST00000300576	ENSG00000167195	0.9409
ENST00000301407	ENSG00000267631	0.6494
ENST00000301408	ENSG00000189052	0.8438
ENST00000301821	ENSG00000168028	0.5035
ENST00000301938	ENSG00000171931	0.6312
ENST00000302247	ENSG00000171711	0.8220
ENST00000302558	ENSG00000169629	0.9664
ENST00000302805	ENSG00000168939	1.0000
ENST00000303037	ENSG00000168928	0.6092
ENST00000303459	ENSG00000169519	0.5671
ENST00000303766	ENSG00000169800	0.9855
ENST00000304191	ENSG00000169612	0.5623
ENST00000304270	ENSG00000171478	0.9905
ENST00000304355	ENSG00000171489	0.9892
ENST00000304465	ENSG00000171943	0.9066
ENST00000304514	ENSG00000153165	0.8753
ENST00000304734	ENSG00000146223	0.5277
ENST00000304786	ENSG00000143742	0.5456
ENST00000304790	ENSG00000169953	1.0000
ENST00000305321	ENSG00000169627	1.0000
ENST00000306507	ENSG00000184492	0.6480
ENST00000306609	ENSG00000172288	1.0000
ENST00000306682	ENSG00000170667	0.9255
ENST00000306882	ENSG00000172352	1.0000
ENST00000306901	ENSG00000175344	0.8531
ENST00000307138	ENSG00000174373	0.5506
ENST00000307393	ENSG00000172468	1.0000
ENST00000307767	ENSG00000171928	0.6375
ENST00000308799	ENSG00000171931	0.6331
ENST00000308911	ENSG00000173213	0.8047
ENST00000308987	ENSG00000173207	0.7279
ENST00000309608	ENSG00000145002	0.9234
ENST00000309758	ENSG00000173110	0.5406
ENST00000309834	ENSG00000172468	1.0000
ENST00000310463	ENSG00000152076	0.5642
ENST00000310842	ENSG00000146707	0.7402
ENST00000311148	ENSG00000184227	0.5694
ENST00000311170	ENSG00000228567	0.5029
ENST00000311549	ENSG00000122026	0.5565
ENST00000311652	ENSG00000204149	0.7432
ENST00000312403	ENSG00000256713	0.7894
ENST00000313104	ENSG00000089157	0.5121
ENST00000313250	ENSG00000157326	0.5601
ENST00000313431	ENSG00000178104	0.7859
ENST00000313835	ENSG00000117262	0.8329
ENST00000313871	ENSG00000197976	1.0000
ENST00000314099	ENSG00000236761	0.8393
ENST00000314151	ENSG00000157335	0.8594
ENST00000314163	ENSG00000188092	0.8306
ENST00000314265	ENSG00000176782	1.0000
ENST00000314357	ENSG00000176797	1.0000
ENST00000314367	ENSG00000172785	0.8769
ENST00000314523	ENSG00000188612	0.6440
ENST00000314664	ENSG00000099290	0.7049
ENST00000314980	ENSG00000178934	0.8838
ENST00000315150	ENSG00000172780	0.7664
ENST00000315357	ENSG00000187191	1.0000
ENST00000315453	ENSG00000180658	0.9198
ENST00000315467	ENSG00000140905	0.5404
ENST00000316169	ENSG00000177023	1.0000
ENST00000316193	ENSG00000136488	0.8502
ENST00000316731	ENSG00000146574	0.8942
ENST00000317103	ENSG00000177504	0.8233
ENST00000317633	ENSG00000172058	1.0000
ENST00000317869	ENSG00000179172	0.6173
ENST00000317900	ENSG00000164871	1.0000
ENST00000318021	ENSG00000177212	0.6548
ENST00000318050	ENSG00000176695	0.9564
ENST00000318124	ENSG00000177243	1.0000
ENST00000318157	ENSG00000177257	0.8843
ENST00000319636	ENSG00000185177	0.6061
ENST00000319651	ENSG00000176809	0.7170
ENST00000320254	ENSG00000176681	0.9407
ENST00000320493	ENSG00000244414	0.5004
ENST00000320701	ENSG00000168757	0.8791
ENST00000320868	ENSG00000206172	0.7314
ENST00000320901	ENSG00000176269	0.9510
ENST00000321217	ENSG00000176679	0.5404
ENST00000321253	ENSG00000075886	0.5204
ENST00000321489	ENSG00000157423	0.6592
ENST00000322209	ENSG00000177144	1.0000
ENST00000322989	ENSG00000134419	0.5456
ENST00000323770	ENSG00000179412	0.9732
ENST00000323819	ENSG00000178809	0.9526
ENST00000324290	ENSG00000170298	0.7981
ENST00000324915	ENSG00000177910	0.7315
ENST00000325558	ENSG00000229859	0.8934
ENST00000325974	ENSG00000122674	0.9067
ENST00000326092	ENSG00000122026	0.5133
ENST00000326153	ENSG00000178605	1.0000
ENST00000326270	ENSG00000146872	0.5174
ENST00000326397	ENSG00000182552	0.7309
ENST00000326558	ENSG00000178287	0.6732
ENST00000326625	ENSG00000178287	0.7640
ENST00000327271	ENSG00000186399	0.9462
ENST00000327570	ENSG00000182552	0.7340
ENST00000327582	ENSG00000198754	0.7859
ENST00000327678	ENSG00000183569	0.5639
ENST00000327792	ENSG00000233024	1.0000
ENST00000327809	ENSG00000185897	0.7244
ENST00000327857	ENSG00000239839	0.8219
ENST00000328085	ENSG00000183426	0.9668
ENST00000328114	ENSG00000171916	0.8029
ENST00000328435	ENSG00000184033	1.0000
ENST00000328570	ENSG00000182783	0.8985
ENST00000328782	ENSG00000183310	0.7231
ENST00000328795	ENSG00000183706	0.8538
ENST00000329240	ENSG00000185829	1.0000
ENST00000329314	ENSG00000183439	0.5220
ENST00000329342	ENSG00000197172	0.6189
ENST00000329516	ENSG00000183054	1.0000
ENST00000329753	ENSG00000237247	0.9254
ENST00000329758	ENSG00000168930	0.8650
ENST00000329862	ENSG00000189253	0.8609
ENST00000329882	ENSG00000136488	0.6906
ENST00000330181	ENSG00000181625	0.9929
ENST00000330280	ENSG00000145736	0.9634
ENST00000330330	ENSG00000174876	1.0000
ENST00000330331	ENSG00000183054	1.0000
ENST00000330537	ENSG00000185164	0.9368
ENST00000330575	ENSG00000169629	0.9965
ENST00000330597	ENSG00000213934	0.6661
ENST00000330752	ENSG00000135486	0.6236
ENST00000330881	ENSG00000204510	0.8821
ENST00000330978	ENSG00000183336	1.0000
ENST00000331035	ENSG00000185291	1.0000
ENST00000331070	ENSG00000183753	1.0000
ENST00000331162	ENSG00000185177	0.6187
ENST00000331220	ENSG00000183305	1.0000
ENST00000331491	ENSG00000183598	0.6418
ENST00000331523	ENSG00000156508	0.6602
ENST00000331666	ENSG00000184110	0.9849
ENST00000332397	ENSG00000214300	0.6320
ENST00000332663	ENSG00000182974	0.7970
ENST00000332831	ENSG00000284662	1.0000
ENST00000332857	ENSG00000185775	0.7760
ENST00000333385	ENSG00000273520	1.0000
ENST00000333432	ENSG00000228049	0.8949
ENST00000333628	ENSG00000137267	0.6157
ENST00000333703	ENSG00000099715	0.6635
ENST00000333796	ENSG00000223443	0.6087
ENST00000333843	ENSG00000182315	0.9434
ENST00000333933	ENSG00000186787	0.6073
ENST00000334036	ENSG00000184911	1.0000
ENST00000334060	ENSG00000185960	1.0000
ENST00000334351	ENSG00000189266	0.5129
ENST00000334398	ENSG00000185973	0.6903
ENST00000334600	ENSG00000204481	0.7639
ENST00000334651	ENSG00000169084	1.0000
ENST00000334773	ENSG00000186562	0.9641
ENST00000334828	ENSG00000171314	0.8191
ENST00000334879	ENSG00000186146	0.5031
ENST00000334933	ENSG00000168781	0.5781
ENST00000335021	ENSG00000186572	1.0000
ENST00000335125	ENSG00000187630	0.5874
ENST00000335186	ENSG00000186579	1.0000
ENST00000335479	ENSG00000187082	1.0000
ENST00000335504	ENSG00000187243	1.0000
ENST00000335510	ENSG00000186599	1.0000
ENST00000336023	ENSG00000123416	0.5470
ENST00000336125	ENSG00000185829	0.9599
ENST00000336415	ENSG00000143702	0.6397
ENST00000336777	ENSG00000241476	1.0000
ENST00000336844	ENSG00000213218	0.6121
ENST00000336906	ENSG00000196565	0.6672
ENST00000337385	ENSG00000180509	0.8198
ENST00000337502	ENSG00000241476	1.0000
ENST00000337579	ENSG00000155026	0.9394
ENST00000337801	ENSG00000184945	0.7121
ENST00000338844	ENSG00000172236	0.7530
ENST00000338876	ENSG00000172468	1.0000
ENST00000338971	ENSG00000261052	0.9749
ENST00000339647	ENSG00000150991	0.6065
ENST00000339872	ENSG00000189403	0.6693
ENST00000339953	ENSG00000140839	0.8397
ENST00000340020	ENSG00000186063	0.7170
ENST00000340073	ENSG00000275976	1.0000
ENST00000340239	ENSG00000183569	0.5582
ENST00000340457	ENSG00000267368	0.9314
ENST00000340537	ENSG00000186523	0.8690
ENST00000340621	ENSG00000170160	0.7001
ENST00000340677	ENSG00000248333	0.5702
ENST00000341068	ENSG00000153107	0.6899
ENST00000341209	ENSG00000196550	0.8856
ENST00000341305	ENSG00000261509	1.0000
ENST00000341369	ENSG00000187514	0.6733
ENST00000341400	ENSG00000185864	0.9318
ENST00000341408	ENSG00000182583	0.8204
ENST00000341656	ENSG00000205238	1.0000
ENST00000341750	ENSG00000229292	0.7790
ENST00000341832	ENSG00000248333	0.6207
ENST00000341990	ENSG00000154529	0.8211
ENST00000342314	ENSG00000215252	0.6413
ENST00000342376	ENSG00000243772	0.5320
ENST00000342751	ENSG00000143252	0.5776
ENST00000342833	ENSG00000187559	0.9603
ENST00000342878	ENSG00000188076	0.7195
ENST00000343262	ENSG00000140988	0.5884
ENST00000343388	ENSG00000146872	0.5290
ENST00000343518	ENSG00000198062	0.8503
ENST00000344087	ENSG00000214967	1.0000
ENST00000344129	ENSG00000169551	0.6632
ENST00000344330	ENSG00000160223	1.0000
ENST00000344415	ENSG00000189152	1.0000
ENST00000344770	ENSG00000174827	0.7375
ENST00000344884	ENSG00000169953	1.0000
ENST00000345096	ENSG00000189375	0.5070
ENST00000345366	ENSG00000213218	0.5870
ENST00000345535	ENSG00000132207	0.9896
ENST00000348499	ENSG00000160221	0.9389
ENST00000349334	ENSG00000134184	0.5603
