# Genes with >= 50% unmappable exonic bases (k100 unique mappability)
# Input: k100.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total genes scored: 20096
# Genes flagged for removal: 494
# gene_id	frac_unmappable
ENSG00000002586	1.0000
ENSG00000015568	0.9912
ENSG00000050327	0.5756
ENSG00000069764	0.5771
ENSG00000099977	0.6203
ENSG00000099984	0.7019
ENSG00000103226	0.7687
ENSG00000105808	0.7810
ENSG00000123584	0.7834
ENSG00000124333	1.0000
ENSG00000124334	1.0000
ENSG00000125551	0.7911
ENSG00000129862	1.0000
ENSG00000129864	1.0000
ENSG00000129873	0.8990
ENSG00000131721	0.6629
ENSG00000132207	0.9279
ENSG00000133433	0.6805
ENSG00000136698	0.7721
ENSG00000140478	0.7086
ENSG00000142178	0.7763
ENSG00000144063	0.7438
ENSG00000145736	0.7171
ENSG00000152093	0.7711
ENSG00000153684	0.7973
ENSG00000154529	0.5473
ENSG00000154545	1.0000
ENSG00000155026	0.5584
ENSG00000155428	0.7729
ENSG00000158427	0.8905
ENSG00000159289	0.7289
ENSG00000160200	0.8186
ENSG00000160201	0.6547
ENSG00000160202	0.7995
ENSG00000160221	0.6283
ENSG00000160223	0.7482
ENSG00000162825	0.8157
ENSG00000164871	0.6731
ENSG00000166160	1.0000
ENSG00000166664	0.6930
ENSG00000167195	0.6730
ENSG00000167393	1.0000
ENSG00000168255	0.5897
ENSG00000168757	0.5106
ENSG00000168781	0.5884
ENSG00000168928	0.5361
ENSG00000168930	0.5511
ENSG00000168939	0.9761
ENSG00000169084	1.0000
ENSG00000169093	1.0000
ENSG00000169100	1.0000
ENSG00000169203	0.9237
ENSG00000169246	0.9236
ENSG00000169402	0.5562
ENSG00000169551	0.5064
ENSG00000169627	1.0000
ENSG00000169629	0.6721
ENSG00000169800	0.9302
ENSG00000169953	1.0000
ENSG00000170667	0.6572
ENSG00000171116	0.8991
ENSG00000171478	0.8705
ENSG00000171489	0.8089
ENSG00000171711	0.5104
ENSG00000172058	0.9045
ENSG00000172062	0.6876
ENSG00000172288	1.0000
ENSG00000172352	1.0000
ENSG00000172468	1.0000
ENSG00000173678	0.9141
ENSG00000174428	0.6683
ENSG00000174876	0.9595
ENSG00000175344	0.5470
ENSG00000176269	0.6432
ENSG00000176695	0.9030
ENSG00000176782	0.9177
ENSG00000176797	1.0000
ENSG00000177023	0.9466
ENSG00000177144	1.0000
ENSG00000177151	0.6108
ENSG00000177243	1.0000
ENSG00000177257	0.5134
ENSG00000177693	0.6306
ENSG00000178115	0.7513
ENSG00000178287	0.6741
ENSG00000178605	1.0000
ENSG00000178809	0.7842
ENSG00000178934	0.7054
ENSG00000179304	1.0000
ENSG00000179412	0.8847
ENSG00000180509	0.5546
ENSG00000180658	0.7708
ENSG00000181625	0.9351
ENSG00000182162	1.0000
ENSG00000182315	0.6311
ENSG00000182330	0.5338
ENSG00000182378	1.0000
ENSG00000182415	0.8990
ENSG00000182484	1.0000
ENSG00000182783	0.7229
ENSG00000183054	0.9765
ENSG00000183246	0.9129
ENSG00000183281	0.7576
ENSG00000183305	1.0000
ENSG00000183336	1.0000
ENSG00000183426	0.6954
ENSG00000183474	0.6248
ENSG00000183629	0.7556
ENSG00000183632	1.0000
ENSG00000183753	1.0000
ENSG00000183795	1.0000
ENSG00000183889	0.9081
ENSG00000184033	1.0000
ENSG00000184110	0.9078
ENSG00000184206	0.7261
ENSG00000184388	0.5082
ENSG00000184616	0.5664
ENSG00000184911	0.9105
ENSG00000184923	0.5555
ENSG00000185164	0.7187
ENSG00000185176	0.6891
ENSG00000185291	1.0000
