# Transcripts with >= 50% unmappable exonic bases (k36.Unique.Mappability unique mappability)
# Input: k36.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total transcripts scored: 111925
# Transcripts flagged for removal: 2247
# transcript_id	gene_id	frac_unmappable
ENST00000016946	ENSG00000015568	1.0000
ENST00000056217	ENSG00000050327	0.7499
ENST00000194097	ENSG00000249437	0.8803
ENST00000215794	ENSG00000184979	0.5829
ENST00000235347	ENSG00000187545	0.7285
ENST00000235349	ENSG00000243073	0.6071
ENST00000243314	ENSG00000123584	0.9228
ENST00000244174	ENSG00000124334	1.0000
ENST00000245564	ENSG00000125459	0.6726
ENST00000249887	ENSG00000129048	0.5190
ENST00000250823	ENSG00000129862	1.0000
ENST00000250825	ENSG00000129864	1.0000
ENST00000250831	ENSG00000226941	0.9651
ENST00000250838	ENSG00000182415	0.9709
ENST00000250974	ENSG00000129968	0.5429
ENST00000251303	ENSG00000132207	0.9823
ENST00000251595	ENSG00000188536	0.7031
ENST00000253262	ENSG00000130950	0.6768
ENST00000254072	ENSG00000187272	0.6054
ENST00000258459	ENSG00000196912	0.7118
ENST00000259199	ENSG00000136682	0.6946
ENST00000259216	ENSG00000136698	0.8822
ENST00000259396	ENSG00000229314	0.5406
ENST00000259818	ENSG00000137285	0.5156
ENST00000261644	ENSG00000241322	0.5754
ENST00000262365	ENSG00000145002	0.7649
ENST00000262640	ENSG00000124333	1.0000
ENST00000262940	ENSG00000105808	0.9372
ENST00000263012	ENSG00000103226	0.9287
ENST00000265097	ENSG00000051596	0.6883
ENST00000267814	ENSG00000140263	0.7252
ENST00000270162	ENSG00000142178	0.9153
ENST00000272395	ENSG00000144015	0.7740
ENST00000272454	ENSG00000015568	1.0000
ENST00000272462	ENSG00000144063	0.9115
ENST00000274065	ENSG00000145425	0.5224
ENST00000274400	ENSG00000145736	0.9423
ENST00000275569	ENSG00000146707	0.6013
ENST00000275988	ENSG00000186787	0.6024
ENST00000276241	ENSG00000169551	0.5024
ENST00000276974	ENSG00000154529	0.7324
ENST00000281882	ENSG00000152093	0.8795
ENST00000282633	ENSG00000099290	0.5827
ENST00000285279	ENSG00000154978	0.6063
ENST00000285805	ENSG00000155428	0.9022
ENST00000286448	ENSG00000124333	1.0000
ENST00000287667	ENSG00000103512	0.7389
ENST00000287721	ENSG00000229549	0.8794
ENST00000288040	ENSG00000157322	0.8491
ENST00000288168	ENSG00000157423	0.5510
ENST00000289473	ENSG00000158517	0.7761
ENST00000290438	ENSG00000159289	0.9355
ENST00000290765	ENSG00000133433	0.8484
ENST00000291552	ENSG00000160201	0.9503
ENST00000291554	ENSG00000160202	0.9385
ENST00000291576	ENSG00000241945	0.8745
ENST00000291577	ENSG00000160221	0.9141
ENST00000292577	ENSG00000129968	0.5029
ENST00000293406	ENSG00000161654	0.6266
ENST00000297186	ENSG00000169402	0.9128
ENST00000297258	ENSG00000164687	0.5666
ENST00000297498	ENSG00000164871	0.7132
ENST00000297668	ENSG00000106714	0.5357
ENST00000299847	ENSG00000166664	0.8857
ENST00000300283	ENSG00000237289	0.8151
ENST00000300576	ENSG00000167195	0.9001
ENST00000301408	ENSG00000189052	0.7913
ENST00000301938	ENSG00000171931	0.5048
ENST00000302247	ENSG00000171711	0.8249
ENST00000302558	ENSG00000169629	0.9341
ENST00000302805	ENSG00000168939	1.0000
ENST00000303037	ENSG00000168928	0.5977
ENST00000303766	ENSG00000169800	0.9791
ENST00000304191	ENSG00000169612	0.5265
ENST00000304270	ENSG00000171478	0.9716
ENST00000304355	ENSG00000171489	0.9522
ENST00000304465	ENSG00000171943	0.8544
ENST00000304514	ENSG00000153165	0.7713
ENST00000304790	ENSG00000169953	1.0000
ENST00000305321	ENSG00000169627	1.0000
ENST00000306609	ENSG00000172288	1.0000
ENST00000306682	ENSG00000170667	0.8961
ENST00000306882	ENSG00000172352	1.0000
ENST00000306901	ENSG00000175344	0.8179
ENST00000307393	ENSG00000172468	1.0000
ENST00000308799	ENSG00000171931	0.5014
ENST00000308911	ENSG00000173213	0.6146
ENST00000308987	ENSG00000173207	0.5186
ENST00000309608	ENSG00000145002	0.8416
ENST00000309834	ENSG00000172468	1.0000
ENST00000310842	ENSG00000146707	0.5628
ENST00000311652	ENSG00000204149	0.6130
ENST00000312403	ENSG00000256713	0.7004
ENST00000313431	ENSG00000178104	0.6952
ENST00000313835	ENSG00000117262	0.7552
ENST00000313871	ENSG00000197976	1.0000
ENST00000314099	ENSG00000236761	0.7245
ENST00000314151	ENSG00000157335	0.7782
ENST00000314163	ENSG00000188092	0.7477
ENST00000314265	ENSG00000176782	1.0000
ENST00000314357	ENSG00000176797	1.0000
ENST00000314367	ENSG00000172785	0.7566
ENST00000314664	ENSG00000099290	0.5928
ENST00000314980	ENSG00000178934	0.8116
ENST00000315150	ENSG00000172780	0.6860
ENST00000315357	ENSG00000187191	0.9997
ENST00000315453	ENSG00000180658	0.9050
ENST00000316169	ENSG00000177023	1.0000
ENST00000316193	ENSG00000136488	0.6650
ENST00000316731	ENSG00000146574	0.8109
ENST00000317103	ENSG00000177504	0.6196
ENST00000317633	ENSG00000172058	1.0000
ENST00000317900	ENSG00000164871	0.9876
ENST00000318021	ENSG00000177212	0.5422
ENST00000318050	ENSG00000176695	0.9336
ENST00000318124	ENSG00000177243	1.0000
ENST00000318157	ENSG00000177257	0.8309
ENST00000319651	ENSG00000176809	0.5796
ENST00000320254	ENSG00000176681	0.9092
ENST00000320701	ENSG00000168757	0.7985
ENST00000320868	ENSG00000206172	0.7019
ENST00000320901	ENSG00000176269	0.9255
ENST00000321489	ENSG00000157423	0.5875
ENST00000322209	ENSG00000177144	1.0000
ENST00000323770	ENSG00000179412	0.9593
ENST00000323819	ENSG00000178809	0.9222
ENST00000324290	ENSG00000170298	0.7466
ENST00000324915	ENSG00000177910	0.5214
ENST00000325558	ENSG00000229859	0.8481
ENST00000325974	ENSG00000122674	0.8457
