# Genes with >= 50% unmappable exonic bases (k36.Unique.Mappability unique mappability)
# Input: k36.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total genes scored: 20096
# Genes flagged for removal: 729
# gene_id	frac_unmappable
ENSG00000002586	1.0000
ENSG00000008128	0.5663
ENSG00000015568	1.0000
ENSG00000050327	0.7523
ENSG00000051596	0.5656
ENSG00000069764	0.5266
ENSG00000099290	0.5600
ENSG00000099977	0.6878
ENSG00000099984	0.8590
ENSG00000100031	0.5016
ENSG00000102076	0.6095
ENSG00000103226	0.9062
ENSG00000103512	0.7389
ENSG00000104818	0.5914
ENSG00000104827	0.7834
ENSG00000105808	0.9298
ENSG00000111752	0.6309
ENSG00000112031	0.5660
ENSG00000117262	0.7442
ENSG00000122674	0.8457
ENSG00000123584	0.9228
ENSG00000124333	1.0000
ENSG00000124334	1.0000
ENSG00000125459	0.6109
ENSG00000125551	0.9665
ENSG00000126251	0.6966
ENSG00000129862	1.0000
ENSG00000129864	1.0000
ENSG00000129873	0.9643
ENSG00000130538	0.9262
ENSG00000130950	0.6768
ENSG00000131721	0.8613
ENSG00000132207	0.9824
ENSG00000133433	0.8484
ENSG00000135976	0.5600
ENSG00000136206	0.5555
ENSG00000136488	0.5222
ENSG00000136682	0.6966
ENSG00000136698	0.8822
ENSG00000137267	0.5897
ENSG00000137285	0.5156
ENSG00000140263	0.5951
ENSG00000140478	0.9018
ENSG00000140839	0.7155
ENSG00000142178	0.9163
ENSG00000144010	0.7794
ENSG00000144015	0.7740
ENSG00000144063	0.7991
ENSG00000144134	0.5340
ENSG00000145002	0.7916
ENSG00000145736	0.9547
ENSG00000146574	0.7094
ENSG00000146707	0.5695
ENSG00000147996	0.8133
ENSG00000150337	0.7257
ENSG00000152093	0.8814
ENSG00000153107	0.5947
ENSG00000153165	0.7572
ENSG00000153684	0.9499
ENSG00000154529	0.8392
ENSG00000154545	1.0000
ENSG00000155026	0.8512
ENSG00000155428	0.9103
ENSG00000157322	0.8443
ENSG00000157326	0.5744
ENSG00000157335	0.7792
ENSG00000157423	0.5027
ENSG00000158427	0.8905
ENSG00000158517	0.6866
ENSG00000159289	0.9355
ENSG00000160200	0.9334
ENSG00000160201	0.9016
ENSG00000160202	0.9225
ENSG00000160221	0.8364
ENSG00000160223	0.9055
ENSG00000161654	0.5637
ENSG00000162825	0.9284
ENSG00000164871	0.7780
ENSG00000166160	1.0000
ENSG00000166664	0.8923
ENSG00000167195	0.9001
ENSG00000167393	1.0000
ENSG00000168255	0.8311
ENSG00000168757	0.8003
ENSG00000168781	0.6194
ENSG00000168928	0.6115
ENSG00000168930	0.8017
ENSG00000168939	0.9754
ENSG00000169059	0.8000
ENSG00000169084	1.0000
ENSG00000169093	1.0000
ENSG00000169100	1.0000
ENSG00000169203	0.9814
ENSG00000169246	0.9730
ENSG00000169402	0.8496
ENSG00000169551	0.5851
ENSG00000169612	0.5265
ENSG00000169627	1.0000
ENSG00000169629	0.8686
ENSG00000169800	0.9797
ENSG00000169953	1.0000
ENSG00000170074	0.6792
ENSG00000170092	0.5818
ENSG00000170160	0.6980
ENSG00000170298	0.6723
ENSG00000170667	0.8605
ENSG00000171116	0.9643
ENSG00000171314	0.7392
ENSG00000171478	0.9716
ENSG00000171489	0.9399
ENSG00000171711	0.8249
